species,num_genomes,rep_number,centroid_90,centroid_99
988598,12,9,2931,3743
988598,13,1,3143,4083
571325,5,4,1696,1774
988598,13,2,3270,4272
988598,13,3,2951,3708
988598,13,5,3014,3713
988598,13,4,2871,3491
988598,15,2,2942,3594
988598,13,6,3415,4679
988598,15,3,3064,3799
988598,15,0,3331,4370
988598,15,1,2954,3721
988598,13,9,3008,3751
571325,6,7,1624,1687
988598,13,8,2953,3889
988598,13,7,3356,4496
988598,2,2,2264,2311
988598,15,4,3445,4739
988598,15,8,2834,3554
988598,15,6,3019,4002
988598,15,7,3077,3887
988598,15,9,3339,4401
988598,16,0,3022,3854
988598,16,3,3467,4794
571325,3,9,1640,1707
988598,16,2,3100,3875
988598,16,4,3443,4695
988598,16,1,2942,3597
988598,16,5,3043,4045
988598,16,6,3078,3894
988598,16,7,2851,3587
988598,16,8,3366,4460
988598,16,9,2876,3496
988598,18,2,3580,4985
988598,18,1,3582,4936
783244,21,4,2145,7736
988598,18,0,3565,4539
988598,18,5,2863,3619
988598,18,6,3561,4996
988598,34,5,4256,6291
988598,18,4,3106,3974
988598,18,8,3490,4835
988598,18,7,2964,3623
988598,20,0,3672,5160
988598,20,1,3315,4462
988598,18,9,2954,3624
783244,10,2,1773,5081
783244,10,9,1629,4684
988598,20,6,3777,5345
988598,20,3,2888,3704
988598,20,2,3167,4198
988598,20,7,2991,3721
988598,20,8,3044,4034
988598,20,9,3773,4847
988598,22,1,2890,3713
988598,22,2,3653,5196
988598,22,3,3069,3907
988598,22,4,3825,5461
571325,4,2,1598,1627
988598,22,0,3183,4235
988598,22,7,3777,4864
988598,22,5,3049,3927
988598,22,6,3071,4100
988598,22,8,3534,4502
988598,25,2,3287,4285
988598,25,0,3128,4078
988598,25,1,3915,5839
988598,25,3,3250,4392
988598,25,5,3563,4605
783244,11,4,1755,4942
988598,25,6,3362,4495
988598,28,1,4091,5505
988598,25,8,3876,5887
988598,28,0,3441,4683
988598,28,2,3585,4683
988598,25,9,3361,4623
988598,28,4,3740,5032
988598,28,7,4272,6245
988598,28,3,3605,4928
988598,28,6,3455,4813
783244,10,3,1837,5254
988598,2,4,1971,2110
988598,2,5,1549,1624
988598,28,8,3946,4977
988598,2,6,2330,2528
988598,2,0,2232,2417
988598,2,1,1948,2010
988598,4,1,2226,2393
988598,28,9,3839,5708
988598,2,8,1601,1699
988598,2,7,2620,3001
571325,2,9,1345,1349
988598,2,3,2162,2257
988598,31,1,3974,5299
988598,2,9,2405,2660
988598,31,2,3957,6165
988598,31,0,3647,4990
988598,31,6,4028,5974
988598,31,4,4355,6409
988598,31,8,4202,6069
988598,31,5,4051,5252
988598,31,3,3622,5114
571325,2,1,1287,1290
988598,31,7,3713,5216
988598,31,9,4025,5882
988598,34,1,4384,6467
988598,34,0,3650,5206
988598,34,2,4080,5410
988598,34,3,4198,6574
988598,34,4,3714,5227
988598,34,7,4397,6407
988598,34,6,4048,5949
988598,28,5,3949,6107
571325,2,3,1248,1253
988598,34,8,3668,5145
988598,34,9,3865,5742
988598,38,0,3722,5261
988598,38,1,4277,6350
988598,38,2,4052,5962
988598,38,3,4444,6511
988598,38,4,3696,5253
988598,38,5,4273,6584
988598,38,6,4370,6406
988598,38,8,3469,4741
571325,2,0,1378,1387
988598,38,7,4457,6587
988598,3,4,1714,1911
988598,38,9,4391,5947
988598,3,2,2193,2324
988598,3,0,2355,2523
988598,3,1,2368,2454
988598,3,3,2369,2641
988598,3,6,2843,3410
988598,3,5,2404,2640
988598,3,7,2077,2229
571325,3,6,1634,1697
988598,3,8,2736,3241
988598,3,9,1989,2136
988598,42,0,3725,5309
988598,42,1,4345,6772
988598,42,2,4433,6549
988598,42,5,4397,5969
988598,42,3,4488,6707
988598,42,4,3473,4776
988598,42,6,3863,5607
988598,42,7,4324,6212
571325,2,2,1429,1437
988598,42,8,4487,6443
988598,42,9,4766,7342
988598,47,0,4550,6344
988598,47,3,4686,7131
988598,47,2,4494,6741
988598,47,1,3990,5967
988598,47,4,4903,7683
988598,47,5,4166,6107
988598,47,7,4399,6629
988598,47,9,4612,6746
571325,6,2,1690,1732
783244,11,9,1767,5046
