genome,species,representative,genome_is_representative,database,genome_type,species_name,source
MG119.mbin.7,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1303.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
GCF_023277665.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG562.mbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG604.mbin.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
ERR10897856.mbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG1108.mbin.37,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897604.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1205.mbin.11,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG23.mbin.17,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17284180.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1189.mbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR6747941.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635694.mbin.7,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635744.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897749.sbin.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
ERR10898211.sbin.3,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR17635743.mbin.7,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG106.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635601.sbin.13,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR17635800.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898153.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR12830922.mbin.9,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG532.mbin.17,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG609.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
P10709776.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897806.sbin.5,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1205.mbin.7,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1031.mbin.3,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG1131.mbin.10,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709499.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1241.mbin.8,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635775.sbin.8,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG274.mbin.10,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG389.mbin.15,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SAMN00036291.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG158.sbin.17,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898190.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG694.mbin.13,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR13167687.sbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635774.mbin.11,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG885.mbin.4,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG10.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG108.mbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
ERR4421613.sbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16916867.mbin.18,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
