genome,species,representative,genome_is_representative,database,genome_type,species_name,source
GCF_000439915.2,611554,GCF_000439915.2,1,shared,isolate,Lactobacillus gasseri,FRT
SRR17284223.mbin.1,240891,SRR17284223.mbin.1,1,VMGC,MAG,Lactobacillus iners,FRT
SRR10258542.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG329.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709414.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR13167624.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16470976.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000175055.1,611554,GCF_000439915.2,0,shared,isolate,Lactobacillus gasseri,FRT
MG291.mbin.12,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG380.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG146.sbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG442.mbin.11,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR4421612.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG842.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG701.mbin.17,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG672.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_011058715.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
SRR10258561.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SAMN00087373.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR12830912.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG96.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR11749265.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000176995.2,611554,GCF_000439915.2,0,shared,isolate,Lactobacillus gasseri,FRT
ERR2244505.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG369.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16471034.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG37.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000179955.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
SRR13694753.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709200.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000179995.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
SRR17284179.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG330.mbin.12,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG467.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG234.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR13167693.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000162255.1,988598,GCF_000162255.1,1,shared,isolate,Lactobacillus crispatus,FRT
MG511.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG399.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG489.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG513.mbin.11,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17284238.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027155795.1,571325,GCF_027155795.1,1,VMGC,MAG,Lactobacillus jensenii,FRT
ERR2238775.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027155925.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
GCF_011058795.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
MG239.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709496.mbin.7,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027155805.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
GCF_027155905.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG277.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709641.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709798.sbin.12,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027155915.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
GCF_027155885.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG11.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG290.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709397.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709493.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR12830918.sbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027155725.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG560.mbin.7,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709696.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17284316.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG391.sbin.19,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709427.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709431.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027155585.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
GCF_019537355.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR4421571.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG260.sbin.16,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17284207.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR12830929.mbin.15,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709792.mbin.7,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR5575608.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027160725.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
GCF_011058695.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
GCF_027155785.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
GCF_000191685.2,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
GCF_027155965.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SAMN00099934.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_019459565.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16471003.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027160745.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
GCF_011058775.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
MG677.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_011058755.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
GCF_027153815.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153945.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_009857205.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
GCF_027153645.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_000162335.1,571325,GCF_027155795.1,0,shared,isolate,Lactobacillus jensenii,FRT
ERR4421550.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG470.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709480.mbin.10,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_018094625.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG177.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000160875.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,urinary tract
GCF_000177035.2,611554,GCF_000439915.2,0,shared,isolate,Lactobacillus gasseri,FRT
GCF_027153545.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_008868575.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_000175035.1,571325,GCF_027155795.1,0,shared,isolate,Lactobacillus jensenii,FRT
GCF_019459545.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
GCF_027153505.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_016093195.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153845.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG300.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027153465.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR21425804.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG110.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_011029225.1,571325,GCF_027155795.1,0,shared,isolate,Lactobacillus jensenii,FRT
MG179.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR13167644.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG388.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_001936235.1,571325,GCF_027155795.1,0,shared,isolate,Lactobacillus jensenii,FRT
MG931.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_011058735.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
SRR17284241.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1329.mbin.10,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000191705.2,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
MG975.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709180.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16471027.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG954.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027153705.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153755.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153525.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_004681235.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027153485.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG50.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000185405.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
GCF_027153625.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153745.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153685.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153715.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153605.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153445.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_016162155.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR21425823.mbin.12,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027153565.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153805.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153425.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027152885.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027152805.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_001541385.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027152845.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027152825.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_008079315.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
P10709292.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_016162125.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153585.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_000177575.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_000176975.2,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_004361575.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_000160515.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_014654855.1,611554,GCF_000439915.2,0,shared,isolate,Lactobacillus gasseri,FRT
GCF_004361375.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_014654865.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027159095.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027159085.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027159065.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_021278945.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG692.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_001562845.1,619501,GCF_001562845.1,1,shared,isolate,Fannyhessea vaginae,FRT
ERR4421591.sbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
GCF_004361295.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_000301115.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_004361265.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_016767795.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_004361635.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027153785.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_000466885.3,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
ERR10898131.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027155075.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158945.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_004361465.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027161115.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027160085.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027160095.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
P10709641.mbin.6,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
GCF_000159235.2,619501,GCF_001562845.1,0,shared,isolate,Fannyhessea vaginae,FRT
GCF_027155435.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027155375.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158885.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158825.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158845.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158785.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158765.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027159025.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_900445305.1,619501,GCF_001562845.1,0,shared,isolate,Fannyhessea vaginae,FRT
GCF_001541535.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_004361475.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027158985.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027154285.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027155575.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027155545.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027155425.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027155105.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027155045.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027155005.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_016162165.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158905.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158795.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027157665.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158735.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158725.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158685.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_016162065.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_000161915.2,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_001546015.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027159005.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158925.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158835.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027157565.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027158705.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027154295.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027159035.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_018885325.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_004361355.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_004361565.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_011029265.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_001541405.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
MG1029.mbin.22,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_027160845.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_015708055.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_001546025.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027160805.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027160285.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_016162195.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027154085.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153255.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR13167604.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
GCF_027160595.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027160545.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_019277925.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_009730275.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027160585.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_016162145.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17284246.sbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
GCF_027153925.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_019278075.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027161165.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027161105.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027160825.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027154065.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_003971565.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027160225.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_015708065.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027154125.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027160325.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027154035.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153985.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027154135.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_004103355.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027160865.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027154025.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_004361555.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_004361515.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
MG164.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_019278055.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027154005.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027160165.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_015708075.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG155.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
P10709465.mbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG64.mbin.12,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
GCF_027153965.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10898117.sbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027153385.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR2244547.mbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
GCF_000179935.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
SRR21425823.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
GCF_004361395.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_004361455.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_001541515.1,988598,GCF_000162255.1,0,shared,isolate,Lactobacillus crispatus,FRT
GCF_027156705.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_027156725.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
