,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory,species
196662,GCF_007786155.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196664,GCF_008726325.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196666,GCF_008726555.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196668,GCF_008726585.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196670,GCF_008727025.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196672,GCF_008727085.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196674,GCF_011029225.1,Vaginal Lactic Acid Bacteria Genome sequencing and assembly,,,Microbe sample from Lactobacillus jensenii,,homo sapiens,,,,vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100515
196675,GCF_011714625.1,Lactobacillus jensenii strain:M166 Genome sequencing and assembly,,,Microbe sample from Lactobacillus jensenii,,homo sapiens,,,,fetal intestine,,,"Microbe, viral or environmental",True,gastrointestinal,100515
196676,GCF_011714655.1,Lactobacillus jensenii strain:M167 Genome sequencing and assembly,,,Microbe sample from Lactobacillus jensenii,,homo sapiens,,,,fetal intestine,,,"Microbe, viral or environmental",True,gastrointestinal,100515
196677,GCF_012029675.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196679,GCF_012029775.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
196681,GCF_012030285.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus jensenii,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100515
235406,GCF_000159235.2,Reference genome for the Human Microbiome Project,,Atopobium vaginae DSM 15829,MIGS Cultured Bacterial/Archaeal sample from Atopobium vaginae DSM 15829,,homo sapiens,,,,vagina,,,MIGS.ba,True,female reproductive tract,103895
235409,GCF_000178335.1,Atopobium vaginae DSM 15829 genome sequencing,,,Sample from Fannyhessea vaginae DSM 15829,,,,,,,,,Generic,,,103895
235401,GCF_001049775.1,Fannyhessea vaginae strain:44061 Genome sequencing and assembly,,,Microbe sample from Fannyhessea vaginae,,homo sapiens,,,,vaginal specimen,,,"Microbe, viral or environmental",True,female reproductive tract,103895
235402,GCF_001562845.1,HMP reference genome,,,Sample from Fannyhessea vaginae,,homo sapiens,,,,vagina,,,Generic,True,female reproductive tract,103895
235405,GCF_900445305.1,NCTC_3000,,,NCTC13935,,homo sapiens,,,,vagina,,,Generic,True,female reproductive tract,103895
