,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory,species
170176,GCF_004361455.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170177,GCF_004361465.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170178,GCF_004361475.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170179,GCF_004361515.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170180,GCF_004361545.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170181,GCF_004361555.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170182,GCF_004361565.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170183,GCF_004361575.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170184,GCF_004361635.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170185,GCF_004681235.1,Lactobacillus crispatus strain:V4 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,vaginal swab,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170186,GCF_007713895.1,Lactobacillus crispatus NCK1350,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,endoscopy,,,"Microbe, viral or environmental",True,unknown,100122
170187,GCF_008079315.1,Lactobacillus crispatus strain:CIP 104459 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,vaginal swab,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170189,GCF_008694205.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170190,GCF_008694205.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170191,GCF_008694745.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"Microbe, viral or environmental",True,unknown,100122
170193,GCF_008694755.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,eye,,,"Microbe, viral or environmental",True,other,100122
