Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1423755	1423755	Ligilactobacillus hayakitensis DSM 18933 = JCM 14209		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887	Ligilactobacillus hayakitensis	396716	FALSE
1423758	1423758	Lactobacillus hominis DSM 23910 = CRBIP 24.179		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus hominis	1203033	FALSE
1423763	1423763	Lactobacillus kalixensis DSM 16043		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus kalixensis	227944	FALSE
1423788	1423788	Companilactobacillus bobalius DSM 19674		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus bobalius	2801451	FALSE
1423805	1423805	Levilactobacillus spicheri DSM 15429		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus spicheri	216463	FALSE
142586	142586	Eubacterium sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802	Eubacteriaceae	186806	Eubacterium	1730	Eubacterium sp.	142586	FALSE
1462575	1462575	Companilactobacillus furfuricola	(Irisawa et al. 2014) Zheng et al. 2020	SPECIES	Lactobacillus furfuricola	Irisawa et al. 2014		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus furfuricola	1462575	TRUE
147802	147802	Lactobacillus iners	Falsen et al. 1999	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus iners	147802	TRUE
1484053	1484053	Mariniphaga anaerophila	Iino et al. 2014	SPECIES				yes	CFB group bacteria	Bacteria	2	Pseudomonadati	3379134	Bacteroidota	976	Bacteroidia	200643	Marinilabiliales	1970189	Prolixibacteraceae	1471398	Mariniphaga	1573806	Mariniphaga anaerophila	1484053	TRUE
148604	148604	Limosilactobacillus ingluviei	(Baele et al. 2003) Zheng et al. 2020	SPECIES	Lactobacillus ingluviei	Baele et al. 2003		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus ingluviei	148604	TRUE
151781	151781	Lactobacillus intestinalis	(ex Hemme 1974) Fujisawa et al. 1990	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus intestinalis	151781	TRUE
152331	152331	Lentilactobacillus parabuchneri	(Farrow et al. 1989) Zheng et al. 2020	SPECIES	Lactobacillus parabuchneri	Farrow et al. 1989		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lentilactobacillus	2767893	Lentilactobacillus parabuchneri	152331	TRUE
153152	153152	uncultured Lactobacillus sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	uncultured Lactobacillus sp.	153152	FALSE
1545701	1545701	Lactobacillus sp. wkB10		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. wkB10	1545701	FALSE
1578	1578	Lactobacillus	Beijerinck 1901 (Approved Lists 1980)	GENUS				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578			TRUE
1579	1579	Lactobacillus acidophilus	Johnson et al. 1980	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus acidophilus	1579	TRUE
1580	1580	Levilactobacillus brevis	(Orla-Jensen 1919) Zheng et al. 2020	SPECIES	Lactobacillus brevis	(Orla-Jensen 1919) Bergey et al. 1934		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus brevis	1580	TRUE
1581136	1581136	Lactobacillus sp. HMSC08B12		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. HMSC08B12	1581136	FALSE
1584	1584	Lactobacillus delbrueckii	Beijerinck 1901	SPECIES	"Bacillus Delbrucki"	(sic) Leichmann 1896		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus delbrueckii	1584	TRUE
1585	1585	Lactobacillus delbrueckii subsp. bulgaricus	(Orla-Jensen 1919) Weiss et al. 1984	SUBSPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus delbrueckii	1584	TRUE
1587	1587	Lactobacillus helveticus	(Orla-Jensen 1919) Bergey et al. 1925	SPECIES	"Thermobacterium helveticum"	Orla-Jensen 1919		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus helveticus	1587	TRUE
1591	1591	Lactobacillus sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp.	1591	FALSE
1596	1596	Lactobacillus gasseri	Lauer and Kandler 1980	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus gasseri	1596	TRUE
1598	1598	Limosilactobacillus reuteri	(Kandler et al. 1982) Zheng et al. 2020	SPECIES	Lactobacillus reuteri	Kandler et al. 1982		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus reuteri	1598	TRUE
1600	1600	Lactobacillus acetotolerans	Entani et al. 1986	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus acetotolerans	1600	TRUE
1601	1601	Ligilactobacillus agilis	(Weiss et al. 1982) Zheng et al. 2020	SPECIES	Lactobacillus agilis	Weiss et al. 1982		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887	Ligilactobacillus agilis	1601	TRUE
1602	1602	Companilactobacillus alimentarius	(Reuter 1983) Zheng et al. 2020	SPECIES	Lactobacillus alimentarius	(ex Reuter 1970) Reuter 1983		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus alimentarius	1602	TRUE
1604	1604	Lactobacillus amylovorus		SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus amylovorus	1604	TRUE
1605	1605	Ligilactobacillus animalis	(Dent and Williams 1983) Zheng et al. 2020	SPECIES	Lactobacillus animalis	Dent and Williams 1983		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887	Ligilactobacillus animalis	1605	TRUE
1612	1612	Companilactobacillus farciminis	(Reuter 1983) Zheng et al. 2020	SPECIES	Lactobacillus farciminis	(ex Reuter 1970) Reuter 1983		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus farciminis	1612	TRUE
1613	1613	Limosilactobacillus fermentum	(Beijerinck 1901) Zheng et al. 2020	SPECIES	Lactobacillus fermentum	Beijerinck 1901 (Approved Lists 1980) emend. Dellaglio et al. 2004		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus fermentum	1613	TRUE
1617889	1617889	Companilactobacillus formosensis	(Chang et al. 2015) Zheng et al. 2020	SPECIES	Lactobacillus formosensis	Chang et al. 2015		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus formosensis	1617889	TRUE
1622	1622	Ligilactobacillus murinus	(Hemme et al. 1982) Zheng et al. 2020	SPECIES	Lactobacillus murinus	Hemme et al. 1982		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887	Ligilactobacillus murinus	1622	TRUE
1624	1624	Ligilactobacillus salivarius	(Rogosa et al. 1953) Zheng et al. 2020	SPECIES	Lactobacillus salivarius	Rogosa et al. 1953 (Approved Lists 1980)		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887	Ligilactobacillus salivarius	1624	TRUE
1632	1632	Limosilactobacillus oris	(Farrow and Collins 1988) Zheng et al. 2020	SPECIES	Lactobacillus oris	Farrow and Collins 1988		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus oris	1632	TRUE
1633	1633	Limosilactobacillus vaginalis	(Embley et al. 1989) Zheng et al. 2020	SPECIES	Lactobacillus vaginalis	Embley et al. 1989		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus vaginalis	1633	TRUE
166	166	Treponema sp.		SPECIES				no	spirochetes	Bacteria	2	Pseudomonadati	3379134	Spirochaetota	203691	Spirochaetia	203692	Spirochaetales	136	Treponemataceae	2845253	Treponema	157	Treponema sp.	166	FALSE
167481	167481	Companilactobacillus mindensis	(Ehrmann et al. 2003) Zheng et al. 2020	SPECIES	Lactobacillus mindensis	Ehrmann et al. 2003		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus mindensis	167481	TRUE
169435	169435	Anaerotruncus colihominis	Lawson et al. 2004	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802	Oscillospiraceae	216572	Anaerotruncus	244127	Anaerotruncus colihominis	169435	TRUE
1704076	1704076	Levilactobacillus cerevisiae	(Koob et al. 2017) Zheng et al. 2020	SPECIES	Lactobacillus cerevisiae	Koob et al. 2017		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus cerevisiae	1704076	TRUE
1732567	1732567	Companilactobacillus insicii	(Ehrmann et al. 2016) Zheng et al. 2020	SPECIES	Lactobacillus insicii	Ehrmann et al. 2016		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus insicii	1732567	TRUE
176292	176292	Secundilactobacillus malefermentans	(Farrow et al. 1989) Zheng et al. 2020	SPECIES	Lactobacillus malefermentans (ex Russell and Walker 1953)	Farrow et al. 1989		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Secundilactobacillus	2767892	Secundilactobacillus malefermentans	176292	TRUE
1769424	1769424	Limosilactobacillus caviae	(Killer et al. 2017) Zheng et al. 2020	SPECIES	Lactobacillus caviae	Killer et al. 2017		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus caviae	1769424	TRUE
177400	177400	Anaerophaga thermohalophila	Denger et al. 2002	SPECIES				yes	CFB group bacteria	Bacteria	2	Pseudomonadati	3379134	Bacteroidota	976	Bacteroidia	200643	Marinilabiliales	1970189	Marinilabiliaceae	558415	Anaerophaga	177399	Anaerophaga thermohalophila	177400	TRUE
179838	179838	Lentilactobacillus diolivorans	(Lei et al. 2013) Zheng et al. 2020	SPECIES	Lactobacillus diolivorans	Krooneman et al. 2002		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lentilactobacillus	2767893	Lentilactobacillus diolivorans	179838	TRUE
181675	181675	Limosilactobacillus coleohominis	(Nikolaitchouk et al. 2001) Zheng et al. 2020	SPECIES	Lactobacillus coleohominis	Nikolaitchouk et al. 2001		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus coleohominis	181675	TRUE
1819254	1819254	Lactobacillus colini	Zhang et al. 2017	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus colini	1819254	TRUE
1847728	1847728	Companilactobacillus allii	(Jung et al. 2017) Zheng et al. 2020	SPECIES	Lactobacillus allii	Jung et al. 2017		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus allii	1847728	TRUE
186801	186801	Clostridia	Rainey 2010	CLASS				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801									TRUE
186803	186803	Lachnospiraceae	Rainey 2010	FAMILY				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Lachnospirales	3085636	Lachnospiraceae	186803					TRUE
1869227	1869227	bacterium		SPECIES				no	bacteria	Bacteria	2													bacterium	1869227	FALSE
1872090	1872090	Acetatifactor sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Lachnospirales	3085636	Lachnospiraceae	186803	Acetatifactor	1427378	Acetatifactor sp.	1872090	FALSE
1879010	1879010	Bacillota bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239									Bacillota bacterium	1879010	FALSE
1898104	1898104	Bacteroidota bacterium		SPECIES				no	CFB group bacteria	Bacteria	2	Pseudomonadati	3379134	Bacteroidota	976									Bacteroidota bacterium	1898104	FALSE
1898203	1898203	Lachnospiraceae bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Lachnospirales	3085636	Lachnospiraceae	186803			Lachnospiraceae bacterium	1898203	FALSE
1898207	1898207	Clostridiales bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802					Clostridiales bacterium	1898207	FALSE
1903258	1903258	Companilactobacillus musae	(Chen et al. 2017) Zheng et al. 2020	SPECIES	Lactobacillus musae	Chen et al. 2017		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus musae	1903258	TRUE
1907779	1907779	Pediococcus sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Pediococcus	1253	Pediococcus sp.	1907779	FALSE
1926284	1926284	Limosilactobacillus caccae	Lo et al. 2023	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus caccae	1926284	TRUE
